,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1110,nwisca.01.01705251,109.0,32.8,2.3,62.1,25000.0,National Water Quality Assessment Program (NAWQA),2017-05-10,19:00:00,-122.0999972,37.8823972
1111,nwisca.01.01705253,82.0,31.5,1.42,42.5,22000.0,National Water Quality Assessment Program (NAWQA),2017-05-10,17:30:00,-122.1723056,37.8645083
1112,nwisca.01.01705257,97.2,33.3,3.04,86.7,33000.0,National Water Quality Assessment Program (NAWQA),2017-05-10,15:30:00,-122.2109972,37.96865278
1113,nwisca.01.01705259,64.5,27.7,1.12,37.4,23000.0,National Water Quality Assessment Program (NAWQA),2017-05-10,13:40:00,-122.1931194,37.88655278
1114,nwisca.01.01705261,128.0,53.6,2.6,114.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-05-10,10:40:00,-122.129965,38.0032551
1115,nwisca.01.01705279,172.0,52.1,7.73,95.7,24000.0,National Water Quality Assessment Program (NAWQA),2017-05-08,13:40:00,-122.2905528,37.96884167
1116,nwisca.01.01705281,136.0,44.3,3.85,113.0,32000.0,National Water Quality Assessment Program (NAWQA),2017-05-08,11:30:00,-122.3319972,37.9628
1117,nwisca.01.01705364,74.6,45.7,1.13,58.4,25000.0,National Water Quality Assessment Program (NAWQA),2017-05-04,10:30:00,-121.9456472,37.95036389
1118,nwisca.01.01705365,120.0,36.5,2.35,73.4,26000.0,National Water Quality Assessment Program (NAWQA),2017-05-03,14:20:00,-122.0592167,37.90366944
1119,nwisca.01.01705366,115.0,33.2,2.44,63.2,24000.0,National Water Quality Assessment Program (NAWQA),2017-05-03,12:40:00,-122.0999972,37.8823972
1120,nwisca.01.01705367,133.0,53.3,2.68,116.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-05-03,09:20:00,-122.129965,38.0032551
1121,nwisca.01.01705368,87.6,32.6,1.48,42.6,21000.0,National Water Quality Assessment Program (NAWQA),2017-05-02,13:00:00,-122.1723056,37.8645083
1122,nwisca.01.01705369,69.0,27.9,1.2,35.4,21000.0,National Water Quality Assessment Program (NAWQA),2017-05-02,11:00:00,-122.1931194,37.88655278
1123,nwisca.01.01705370,106.0,34.9,3.4,88.7,32000.0,National Water Quality Assessment Program (NAWQA),2017-05-02,09:20:00,-122.2109972,37.96865278
1124,nwisca.01.01705371,172.0,52.9,7.94,92.7,23000.0,National Water Quality Assessment Program (NAWQA),2017-05-01,14:10:00,-122.2905528,37.96884167
1125,nwisca.01.01705372,134.0,44.2,3.84,109.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-05-01,11:30:00,-122.3319972,37.9628
1126,nwisca.01.01705373,69.0,43.3,0.99,54.9,25000.0,National Water Quality Assessment Program (NAWQA),2017-04-27,11:00:00,-121.9456472,37.95036389
1127,nwisca.01.01705374,120.0,46.1,2.05,151.0,40000.0,National Water Quality Assessment Program (NAWQA),2017-04-27,08:50:00,-122.066,37.972
