,Magnesium,Sodium,"Sodium, percent total cations",Potassium,Calcium
422,47.0,83.0,30.0,5.3,85.0
423,54.0,86.0,29.0,7.1,89.0
424,46.0,90.0,37.0,4.8,54.0
425,45.0,91.0,33.0,7.1,82.0
426,44.0,84.0,32.0,4.8,80.0
427,18.0,36.0,30.0,8.0,40.0
428,40.0,69.0,30.0,5.5,70.0
429,35.0,61.0,29.0,4.0,68.0
430,45.0,74.0,31.0,4.7,67.0
431,38.0,79.0,32.0,5.8,83.0
432,50.0,89.0,30.0,6.9,96.0
433,52.0,87.0,30.0,6.7,89.0
434,46.0,91.0,32.0,6.1,91.0
435,48.0,93.0,34.0,5.7,74.0
436,48.0,89.0,30.0,9.4,95.0
437,38.0,83.0,34.0,16.0,70.0
438,41.0,81.0,33.0,7.1,69.0
439,45.0,87.0,33.0,7.3,75.0
441,54.0,88.0,33.0,6.8,64.0
443,40.0,95.0,34.0,5.9,94.0
445,56.0,107.0,35.0,6.6,80.0
446,49.0,104.0,36.0,5.4,80.0
447,51.0,100.0,33.0,7.4,88.0
448,22.0,41.0,30.0,6.7,43.0
449,12.0,18.0,25.0,2.0,26.0
450,16.0,26.0,24.0,2.0,45.0
451,21.0,31.0,24.0,2.3,50.0
452,34.0,51.0,28.0,3.4,58.0
453,23.0,37.0,27.0,2.7,48.0
454,41.0,60.0,26.0,4.0,76.0
455,48.0,77.0,30.0,4.4,73.0
456,40.0,77.0,29.0,4.6,93.0
457,42.0,65.0,27.0,4.2,82.0
458,40.0,72.0,30.0,4.1,77.0
459,53.0,76.0,32.0,4.2,52.0
460,44.0,74.0,33.0,3.8,55.0
461,40.0,73.0,31.0,3.8,74.0
462,40.0,77.0,32.0,4.0,76.0
463,36.0,78.0,33.0,3.7,75.0
464,55.0,80.0,33.0,1.9,50.0
465,42.0,78.0,36.0,3.8,49.0
466,40.0,77.0,34.0,4.2,62.0
467,41.0,76.0,31.0,3.7,78.0
468,42.0,75.0,31.0,3.8,76.0
469,46.0,80.0,34.0,3.7,58.0
470,44.0,79.0,31.0,3.9,81.0
471,25.0,42.0,28.0,2.8,53.0
472,17.0,26.0,25.0,2.3,39.0
473,13.0,20.0,26.0,2.2,27.0
474,14.0,20.0,23.0,1.7,36.0
475,26.0,40.0,25.0,2.8,58.0
476,14.0,18.0,21.0,2.2,35.0
477,30.0,48.0,27.0,3.6,64.0
478,17.0,28.0,25.0,2.3,45.0
479,20.0,29.0,25.0,2.2,43.0
480,23.0,35.0,25.0,2.3,52.0
481,32.0,53.0,28.0,2.8,66.0
482,44.0,81.0,32.0,5.7,78.0
483,50.0,103.0,34.0,8.4,90.0
484,49.0,87.0,32.0,9.0,78.0
485,43.0,78.0,31.0,12.0,72.0
486,44.0,75.0,30.0,6.6,74.0
487,42.0,78.0,31.0,6.0,77.0
488,19.0,26.0,21.0,3.7,50.0
489,30.0,59.0,33.0,7.1,53.0
490,21.0,20.0,19.0,3.3,39.0
491,22.0,22.0,19.0,3.3,43.0
492,25.0,39.0,27.0,5.0,49.0
493,29.0,51.0,28.0,4.7,65.0
494,31.0,51.0,28.0,6.9,59.0
495,36.0,60.0,28.0,4.4,73.0
496,35.0,62.0,28.0,4.4,78.0
497,35.0,61.0,29.0,3.8,72.0
498,36.0,75.0,30.0,5.5,89.0
499,35.0,66.0,29.0,4.4,78.0
500,40.0,81.0,32.0,4.9,83.0
501,22.0,42.0,29.0,5.6,52.0
502,27.0,49.0,27.0,3.8,68.0
503,33.0,60.0,29.0,4.4,71.0
504,36.0,67.0,29.0,4.6,78.0
505,37.0,62.0,28.0,3.7,73.0
506,37.0,70.0,30.0,4.2,76.0
507,38.0,72.0,31.0,4.9,74.0
516,36.0,58.0,28.0,3.7,72.0
520,40.0,79.0,34.0,6.4,66.0
530,42.0,81.0,35.0,3.4,63.0
532,42.0,66.0,28.0,12.0,74.0
533,48.0,82.0,31.0,8.8,78.0
534,49.0,91.0,34.0,4.7,69.0
535,52.0,92.0,33.0,3.6,73.0
536,51.0,77.0,29.0,4.4,81.0
537,43.0,76.0,30.0,4.6,83.0
538,28.0,44.0,26.0,18.0,54.0
539,23.0,40.0,28.0,8.4,46.0
540,15.0,19.0,22.0,4.9,30.0
541,21.0,27.0,23.0,4.9,40.0
542,34.0,48.0,26.0,6.0,63.0
543,49.0,58.0,28.0,6.1,49.0
544,65.0,63.0,27.0,6.2,39.0
545,49.0,63.0,26.0,5.8,72.0
546,59.0,64.0,26.0,5.6,59.0
547,51.0,60.0,25.0,5.7,69.0
548,44.0,67.0,28.0,4.8,72.0
549,36.0,71.0,33.0,4.9,66.0
550,47.0,68.0,30.0,5.1,55.0
551,43.0,81.0,34.0,3.8,62.0
552,53.0,96.0,34.0,4.2,71.0
553,53.0,96.0,34.0,4.2,71.0
554,17.0,29.0,26.0,2.5,41.0
555,22.0,37.0,28.0,2.2,46.0
556,26.0,53.0,32.0,2.7,53.0
557,28.0,41.0,28.0,2.0,47.0
561,66.0,167.0,41.0,4.2,100.0
562,65.0,169.0,40.0,3.8,115.0
563,63.0,165.0,38.0,3.8,125.0
564,58.0,150.0,40.0,2.4,101.0
565,40.0,43.0,22.0,2.0,67.0
566,44.0,52.0,24.0,2.3,68.0
567,44.0,52.0,24.0,2.1,71.0
568,42.0,56.0,25.0,2.4,74.0
569,37.0,46.0,24.0,2.4,68.0
570,35.0,43.0,23.0,2.2,64.0
571,39.0,46.0,24.0,2.2,64.0
572,38.0,52.0,26.0,2.2,67.0
573,39.0,55.0,26.0,2.2,68.0
574,40.0,63.0,29.0,2.5,68.0
575,42.0,65.0,28.0,2.4,72.0
576,44.0,69.0,30.0,2.5,67.0
577,45.0,66.0,29.0,2.5,63.0
578,44.0,74.0,31.0,2.8,70.0
579,46.0,80.0,33.0,3.0,66.0
580,48.0,82.0,33.0,2.9,64.0
581,52.0,91.0,38.0,2.7,43.0
582,49.0,102.0,39.0,3.2,57.0
583,58.0,60.0,20.0,34.0,98.0
584,58.0,60.0,20.0,34.0,98.0
585,50.0,71.0,26.0,19.0,80.0
586,61.0,86.0,26.0,18.0,106.0
587,60.0,100.0,28.0,29.0,107.0
588,57.0,102.0,30.0,18.0,106.0
589,56.0,105.0,31.0,18.0,106.0
590,31.0,68.0,32.0,17.0,64.0
591,41.0,71.0,29.0,25.0,72.0
592,57.0,93.0,29.0,19.0,96.0
593,69.0,117.0,30.0,18.0,117.0
594,67.0,123.0,30.0,20.0,129.0
595,30.0,51.0,28.0,24.0,50.0
596,54.0,100.0,31.0,16.0,95.0
597,70.0,102.0,27.0,16.0,113.0
598,72.0,124.0,33.0,14.0,95.0
599,75.0,132.0,34.0,11.0,93.0
600,76.0,135.0,32.0,13.0,120.0
601,76.0,139.0,33.0,13.0,109.0
602,78.0,144.0,33.0,13.0,121.0
603,80.0,147.0,32.0,14.0,136.0
604,48.0,61.0,25.0,9.4,78.0
605,48.0,54.0,23.0,8.0,75.0
606,49.0,60.0,24.0,8.2,78.0
607,80.0,120.0,28.0,12.0,126.0
608,28.0,39.0,26.0,1.7,52.0
609,36.0,68.0,35.0,2.6,48.0
610,36.0,68.0,35.0,2.6,48.0
611,40.0,54.0,27.0,2.5,58.0
612,35.0,54.0,28.0,2.3,61.0
613,38.0,56.0,28.0,2.3,61.0
614,35.0,60.0,29.0,2.7,68.0
615,40.0,63.0,31.0,2.6,56.0
616,45.0,69.0,31.0,2.6,60.0
617,42.0,67.0,27.0,3.4,83.0
618,38.0,62.0,28.0,2.4,77.0
619,37.0,64.0,29.0,2.3,77.0
620,43.0,71.0,28.0,4.3,85.0
621,48.0,78.0,29.0,5.2,85.0
622,48.0,70.0,28.0,4.0,77.0
623,49.0,71.0,28.0,3.4,78.0
624,47.0,79.0,30.0,3.6,83.0
625,47.0,77.0,30.0,6.4,73.0
626,46.0,71.0,28.0,4.5,83.0
627,42.0,66.0,29.0,3.4,73.0
628,45.0,72.0,30.0,3.2,74.0
629,44.0,69.0,29.0,2.9,72.0
630,43.0,70.0,30.0,2.7,69.0
631,46.0,70.0,30.0,2.7,68.0
632,42.0,70.0,30.0,2.7,70.0
633,44.0,73.0,31.0,2.6,67.0
641,8.4,22.0,36.0,1.1,19.0
645,17.0,100.0,63.0,4.4,22.0
646,16.0,87.0,60.0,4.2,21.0
652,31.0,28.0,18.0,2.5,56.0
655,49.0,60.0,24.0,8.4,82.0
656,55.0,91.0,30.0,21.0,80.0
657,63.0,108.0,32.0,24.0,87.0
658,71.0,114.0,31.0,15.0,101.0
659,65.0,118.0,32.0,14.0,108.0
660,63.0,118.0,32.0,15.0,107.0
661,64.0,121.0,34.0,38.0,79.0
662,39.0,83.0,34.0,23.0,65.0
663,45.0,119.0,39.0,21.0,75.0
664,47.0,96.0,34.0,41.0,67.0
665,14.0,16.0,21.0,5.4,28.0
666,11.0,13.0,20.0,3.0,25.0
667,12.0,15.0,22.0,3.4,25.0
668,18.0,26.0,25.0,3.3,38.0
669,20.0,36.0,29.0,6.2,39.0
671,12.0,14.0,21.0,2.1,24.0
672,21.0,26.0,25.0,2.5,32.0
673,24.0,44.0,29.0,4.8,53.0
674,45.0,88.0,33.0,10.0,77.0
675,62.0,106.0,30.0,12.0,106.0
676,70.0,125.0,31.0,12.0,123.0
677,69.0,132.0,30.0,10.0,152.0
678,82.0,162.0,35.0,13.0,122.0
679,79.0,166.0,34.0,13.0,138.0
680,68.0,174.0,35.0,13.0,157.0
681,64.0,166.0,35.0,14.0,151.0
682,48.0,140.0,38.0,13.0,113.0
683,30.0,129.0,50.0,8.4,58.0
684,24.0,94.0,48.0,6.0,47.0
685,19.0,68.0,46.0,3.6,37.0
686,17.0,64.0,46.0,3.2,35.0
687,16.0,56.0,45.0,2.4,33.0
688,13.0,42.0,43.0,2.2,26.0
689,20.0,52.0,38.0,3.0,39.0
690,14.0,42.0,42.0,2.3,27.0
691,15.0,42.0,39.0,2.2,31.0
692,26.0,54.0,33.0,4.3,49.0
693,16.0,44.0,40.0,2.6,30.0
694,12.0,50.0,48.0,2.4,26.0
695,16.0,58.0,47.0,3.0,30.0
696,16.0,64.0,50.0,2.8,29.0
697,79.0,109.0,28.0,3.9,115.0
698,57.0,77.0,27.0,4.2,87.0
699,54.0,83.0,28.0,3.6,98.0
700,14.0,19.0,24.0,3.9,27.0
701,10.0,16.0,25.0,3.1,23.0
702,17.0,23.0,24.0,2.7,34.0
703,25.0,34.0,25.0,3.2,46.0
704,21.0,34.0,27.0,3.7,43.0
705,12.0,18.0,25.0,1.9,26.0
706,20.0,30.0,25.0,2.4,43.0
707,30.0,50.0,28.0,4.1,60.0
708,39.0,65.0,30.0,3.9,66.0
709,44.0,70.0,29.0,4.2,74.0
710,28.0,44.0,27.0,2.5,58.0
711,26.0,41.0,26.0,2.3,59.0
712,25.0,43.0,27.0,2.4,61.0
713,28.0,44.0,26.0,2.7,59.0
714,25.0,42.0,27.0,1.8,56.0
716,31.0,94.0,42.0,4.6,61.0
717,20.0,78.0,46.0,3.6,44.0
718,17.0,46.0,38.0,2.5,37.0
719,18.0,46.0,37.0,2.7,37.0
720,23.0,58.0,36.0,3.5,49.0
721,15.0,46.0,42.0,2.5,30.0
722,16.0,50.0,41.0,2.8,34.0
723,18.0,53.0,41.0,3.1,34.0
724,20.0,61.0,42.0,3.3,38.0
731,15.0,73.0,53.0,2.9,31.0
733,9.7,36.0,46.0,2.1,20.0
737,14.0,58.0,50.0,2.6,26.0
744,21.0,22.0,17.0,1.8,56.0
748,41.0,62.0,28.0,3.2,67.0
749,17.0,67.0,49.0,3.3,32.0
750,11.0,28.0,33.0,6.8,27.0
751,22.0,69.0,43.0,5.4,40.0
752,22.0,87.0,49.0,4.6,40.0
753,24.0,108.0,52.0,5.9,45.0
754,22.0,95.0,50.0,5.2,43.0
755,37.0,108.0,41.0,8.8,69.0
756,35.0,114.0,46.0,18.0,50.0
757,55.0,195.0,56.0,3.1,39.0
758,63.0,174.0,45.0,18.0,71.0
759,24.0,100.0,49.0,4.8,47.0
760,31.0,112.0,48.0,7.2,50.0
763,14.0,22.0,26.0,3.2,30.0
764,23.0,44.0,31.0,4.9,45.0
765,15.0,25.0,28.0,3.3,31.0
766,28.0,57.0,34.0,4.3,50.0
767,46.0,112.0,40.0,6.6,67.0
768,28.0,112.0,49.0,5.4,52.0
769,27.0,99.0,47.0,7.6,50.0
770,20.0,39.0,32.0,3.5,39.0
771,25.0,39.0,27.0,3.0,47.0
772,20.0,33.0,28.0,3.4,39.0
773,25.0,36.0,26.0,3.0,45.0
774,32.0,53.0,29.0,3.0,59.0
775,50.0,131.0,42.0,6.8,75.0
776,22.0,84.0,48.0,3.7,41.0
777,22.0,72.0,44.0,3.8,41.0
778,30.0,74.0,38.0,5.4,53.0
779,21.0,56.0,40.0,3.6,38.0
780,19.0,67.0,46.0,4.1,35.0
781,11.0,30.0,36.0,6.0,26.0
782,22.0,66.0,41.0,4.7,44.0
783,22.0,85.0,47.0,4.8,45.0
784,24.0,91.0,47.0,5.2,49.0
785,27.0,86.0,41.0,4.4,61.0
786,31.0,72.0,35.0,6.3,62.0
787,38.0,96.0,39.0,8.4,62.0
788,40.0,125.0,43.0,8.8,76.0
789,24.0,95.0,49.0,4.8,45.0
790,25.0,113.0,50.0,6.8,54.0
791,14.0,38.0,36.0,7.4,33.0
792,8.5,13.0,22.0,2.9,24.0
793,21.0,39.0,30.0,3.7,43.0
794,14.0,24.0,27.0,3.7,32.0
795,30.0,58.0,32.0,4.6,56.0
796,29.0,97.0,44.0,4.7,57.0
797,26.0,81.0,42.0,5.0,53.0
798,19.0,30.0,27.0,3.4,37.0
799,27.0,46.0,29.0,3.6,52.0
800,18.0,26.0,25.0,2.8,37.0
801,19.0,28.0,25.0,5.2,40.0
802,25.0,44.0,27.0,2.6,61.0
803,34.0,55.0,28.0,3.1,65.0
804,51.0,100.0,35.0,5.0,72.0
806,25.0,78.0,39.0,4.0,64.0
807,29.0,71.0,37.0,4.2,55.0
808,25.0,62.0,37.0,3.7,47.0
809,22.0,60.0,40.0,3.9,40.0
810,27.0,61.0,35.0,4.6,50.0
811,25.0,52.0,33.0,3.1,50.0
812,23.0,44.0,31.0,3.4,44.0
813,19.0,42.0,34.0,3.0,38.0
814,19.0,44.0,36.0,2.4,37.0
815,19.0,47.0,37.0,3.1,38.0
816,18.0,54.0,40.0,3.1,38.0
817,20.0,66.0,44.0,3.3,38.0
825,8.0,31.0,46.0,2.0,18.0
829,14.0,44.0,45.0,2.2,23.0
837,34.0,44.0,24.0,1.9,62.0
840,22.0,67.0,43.0,4.4,38.0
841,20.0,67.0,44.0,5.2,39.0
842,18.0,59.0,45.0,4.2,32.0
843,18.0,62.0,44.0,3.4,38.0
844,28.0,80.0,40.0,5.1,56.0
845,27.0,68.0,37.0,5.0,53.0
846,20.0,60.0,40.0,8.7,40.0
847,20.0,73.0,44.0,5.1,45.0
848,21.0,70.0,43.0,5.4,44.0
849,33.0,70.0,34.0,4.9,64.0
850,19.0,66.0,44.0,4.1,41.0
851,19.0,64.0,44.0,3.0,37.0
852,15.0,29.0,30.0,3.5,33.0
853,29.0,50.0,30.0,3.6,52.0
854,34.0,74.0,34.0,4.7,66.0
855,26.0,78.0,42.0,3.4,49.0
856,25.0,82.0,45.0,3.0,45.0
857,27.0,72.0,40.0,3.3,46.0
858,32.0,60.0,37.0,3.8,34.0
859,30.0,76.0,38.0,4.9,56.0
860,23.0,66.0,40.0,3.8,45.0
861,29.0,66.0,35.0,3.5,57.0
862,29.0,70.0,37.0,5.4,54.0
863,19.0,48.0,39.0,3.9,33.0
864,16.0,43.0,38.0,3.3,34.0
865,16.0,41.0,38.0,2.6,31.0
866,17.0,43.0,39.0,3.2,30.0
867,16.0,39.0,37.0,2.9,29.0
870,17.0,65.0,49.0,2.8,30.0
878,15.0,56.0,47.0,2.2,30.0
882,15.0,70.0,55.0,2.8,23.0
888,25.0,20.0,17.0,1.6,43.0
899,35.0,60.0,28.0,2.9,74.0
903,7.4,42.0,39.0,2.7,43.0
910,7.3,29.0,45.0,1.6,18.0
914,14.0,56.0,46.0,2.7,33.0
923,37.0,50.0,25.0,2.4,67.0
933,13.0,42.0,42.0,1.8,28.0
937,19.0,70.0,49.0,3.1,30.0
945,7.3,22.0,40.0,1.4,16.0
948,13.0,54.0,54.0,2.5,18.0
951,18.0,72.0,49.0,3.0,33.0
952,22.0,86.0,49.0,4.0,41.0
953,32.0,72.0,35.0,3.4,64.0
954,12.0,18.0,25.0,2.1,26.0
955,34.0,64.0,31.0,3.6,68.0
956,20.0,37.0,30.0,2.1,41.0
957,15.0,21.0,24.0,1.7,33.0
958,33.0,60.0,31.0,3.1,63.0
959,38.0,72.0,32.0,3.6,72.0
970,4.4,32.0,48.0,1.6,22.0
973,10.0,34.0,46.0,2.2,17.0
977,14.0,67.0,53.0,2.7,27.0
978,20.0,97.0,53.0,3.4,39.0
979,13.0,44.0,44.0,2.4,26.0
980,8.5,21.0,37.0,1.6,16.0
981,10.0,27.0,41.0,2.2,16.0
982,11.0,38.0,47.0,2.5,18.0
983,14.0,74.0,61.0,3.8,16.0
984,13.0,52.0,51.0,2.6,20.0
992,21.0,37.0,32.0,1.7,34.0
993,31.0,69.0,34.0,3.1,66.0
996,12.0,35.0,44.0,2.3,18.0
997,14.0,49.0,48.0,2.9,21.0
998,24.0,114.0,55.0,5.3,40.0
999,23.0,99.0,51.0,4.9,41.0
1000,31.0,144.0,54.0,4.2,54.0
1001,3.0,7.2,31.0,1.5,8.3
1003,10.0,37.0,45.0,2.3,21.0
1005,10.0,38.0,49.0,2.4,17.0
1008,14.0,63.0,49.0,1.9,33.0
1010,6.5,17.0,36.0,1.6,15.0
1011,26.0,57.0,34.0,2.6,51.0
1012,17.0,41.0,33.0,1.5,43.0
1013,5.2,14.0,33.0,2.4,15.0
1014,1.7,3.8,26.0,1.4,5.8
1015,27.0,59.0,35.0,2.1,50.0
1016,2.1,4.5,27.0,1.3,6.5
1017,8.0,18.0,32.0,1.7,20.0
1018,3.8,11.0,36.0,1.1,10.0
1019,36.0,92.0,39.0,3.3,67.0
1020,36.0,96.0,40.0,3.9,65.0
1021,2.1,5.3,28.0,1.5,7.5
1022,2.4,5.7,29.0,1.5,7.7
1023,40.0,32.0,22.0,1.4,30.0
1024,4.1,6.2,29.0,1.5,5.4
1025,6.7,7.5,23.0,1.5,9.8
1027,2.9,5.4,26.0,1.3,8.0
1028,9.8,19.0,29.0,2.9,22.0
1029,6.0,14.0,32.0,1.2,16.0
1030,4.1,9.1,28.0,1.0,13.0
1031,5.2,3.2,16.0,0.6,5.7
1032,8.3,4.5,16.0,0.7,7.1
1033,30.0,83.0,42.0,4.6,48.0
1034,74.0,100.0,25.0,3.5,140.0
1035,54.0,130.0,35.0,2.5,120.0
1036,30.0,30.0,18.0,2.0,65.0
1037,79.0,39.0,15.0,2.7,68.0
1038,70.0,130.0,35.0,3.1,95.0
1039,70.0,46.0,19.0,2.2,57.0
1061,33.0,110.0,47.0,8.5,49.0
1144,19.0,59.0,43.0,4.9,35.0
1147,17.0,71.0,55.0,4.4,21.0
1160,24.0,58.0,35.0,2.2,55.0
1163,26.0,51.0,29.0,2.2,64.0
1167,22.0,64.0,40.0,2.3,46.0
1170,23.0,61.0,37.0,2.7,53.0
1180,74.0,77.0,21.0,3.7,130.0
1188,26.0,340.0,76.0,6.0,47.0
1190,23.0,50.0,33.0,2.4,49.0
1192,89.0,260.0,51.0,2.2,66.0
1193,95.0,95.0,23.0,2.6,120.0
1194,65.0,50.0,17.0,6.3,99.0
1204,40.0,100.0,37.0,2.1,80.0
1212,24.0,32.0,24.0,1.6,48.0
1213,34.0,34.0,19.0,1.3,69.0
1214,55.0,110.0,34.0,3.0,93.0
1216,33.0,40.0,25.0,3.0,46.0
1217,78.0,48.0,13.0,2.5,140.0
1218,25.0,83.0,49.0,1.2,34.0
1220,90.0,150.0,35.0,0.8,92.0
1222,67.0,150.0,40.0,1.2,87.0
1224,48.0,57.0,24.0,1.8,80.0
1225,64.0,110.0,32.0,1.5,100.0
1227,58.0,32.0,11.0,2.3,130.0
1229,67.0,53.0,20.0,1.5,72.0
1230,15.0,23.0,27.0,1.2,29.0
1231,190.0,140.0,17.0,2.5,300.0
1233,30.0,49.0,29.0,1.7,54.0
1234,11.0,29.0,38.0,1.2,22.0
1235,59.0,84.0,32.0,1.1,58.0
1242,29.0,66.0,34.0,2.2,65.0
1243,25.0,33.0,23.0,1.9,53.0
1254,76.0,37.0,14.0,2.1,67.0
1271,75.0,120.0,30.0,3.2,120.0
1279,64.0,200.0,38.0,1.5,180.0
1281,48.0,150.0,51.0,1.6,45.0
1291,72.0,47.0,19.0,2.1,56.0
1299,58.0,94.0,36.0,2.6,48.0
1301,65.0,140.0,39.0,2.5,81.0
1302,49.0,61.0,28.0,2.0,52.0
1303,720.0,2300.0,54.0,3.1,490.0
1305,52.0,210.0,57.0,1.0,53.0
1307,72.0,140.0,38.0,2.5,79.0
1309,59.0,140.0,46.0,4.3,45.0
1311,58.0,110.0,36.0,2.1,71.0
1312,20.0,130.0,60.0,1.8,43.0
1313,26.0,150.0,64.0,2.3,31.0
1315,39.0,210.0,61.0,2.3,51.0
1317,38.0,200.0,61.0,1.5,46.0
1319,58.0,28.0,14.0,1.8,50.0
1320,35.0,59.0,27.0,1.2,84.0
1321,43.0,360.0,74.0,2.6,39.0
1323,94.0,570.0,66.0,1.2,100.0
1324,36.0,110.0,47.0,1.1,48.0
1325,35.0,580.0,81.0,1.1,59.0
1326,32.0,250.0,73.0,0.9,27.0
1357,33.0,100.0,45.0,2.2,51.0
1360,23.0,57.0,35.0,1.8,53.0
1364,27.0,53.0,29.0,2.0,66.0
1368,24.0,71.0,39.0,2.1,55.0
1372,30.0,80.0,36.0,3.0,74.0
1374,66.0,96.0,25.0,6.5,140.0
1377,79.0,83.0,22.0,3.6,130.0
1378,76.0,70.0,19.0,4.5,140.0
1383,28.0,390.0,79.0,2.5,42.0
1385,48.0,110.0,35.0,2.5,100.0
1389,89.0,290.0,54.0,2.1,69.0
1390,72.0,300.0,53.0,6.2,110.0
1394,93.0,90.0,24.0,2.2,100.0
1395,92.0,95.0,25.0,2.2,100.0
1399,50.0,63.0,25.0,5.4,82.0
1400,61.0,66.0,22.0,4.5,98.0
1402,61.0,110.0,31.0,5.0,110.0
1405,65.0,140.0,34.0,2.5,130.0
1406,57.0,130.0,33.0,4.3,130.0
1412,53.0,50.0,18.0,0.5,110.0
1413,52.0,53.0,19.0,0.7,110.0
1415,28.0,38.0,23.0,1.6,61.0
1416,34.0,56.0,27.0,2.1,73.0
1418,28.0,38.0,25.0,1.7,54.0
1422,33.0,35.0,20.0,1.1,69.0
1423,32.0,37.0,21.0,1.1,69.0
1426,46.0,87.0,31.0,2.6,89.0
1430,77.0,44.0,13.0,2.0,130.0
1434,67.0,50.0,16.0,2.2,120.0
1435,67.0,53.0,17.0,2.2,120.0
1438,23.0,81.0,49.0,1.0,34.0
1441,94.0,150.0,35.0,0.7,89.0
1444,69.0,150.0,39.0,0.9,88.0
1448,47.0,100.0,34.0,1.3,92.0
1450,62.0,110.0,33.0,1.3,91.0
1451,59.0,120.0,36.0,1.4,89.0
1452,60.0,35.0,11.0,2.0,150.0
1456,90.0,53.0,13.0,2.0,150.0
1458,16.0,23.0,26.0,1.2,30.0
1459,45.0,150.0,47.0,1.0,72.0
1461,190.0,140.0,17.0,2.3,300.0
1462,200.0,140.0,16.0,2.6,300.0
1464,36.0,50.0,26.0,1.7,63.0
1466,12.0,31.0,39.0,1.2,22.0
1468,61.0,120.0,38.0,1.0,67.0
1471,100.0,46.0,16.0,1.3,52.0
1474,28.0,31.0,20.0,0.7,61.0
1475,27.0,34.0,22.0,0.4,63.0
1477,65.0,85.0,31.0,1.2,60.0
1480,54.0,32.0,17.0,1.8,47.0
1487,39.0,20.0,14.0,1.2,44.0
1489,150.0,290.0,32.0,1.2,290.0
