,ActivityIdentifier,Enterococcus,Fecal Coliform,Total Coliform
104,11NPSWRD_WQX-PRSF_WQ_EL1_20111214_L,,,820.0
105,11NPSWRD_WQX-PRSF_WQ_EL1_20120117_L,,,550.0
106,11NPSWRD_WQX-PRSF_WQ_EL1_20120215_L,,,660.0
107,11NPSWRD_WQX-PRSF_WQ_EL1_20120322_L,,,540.0
108,11NPSWRD_WQX-PRSF_WQ_EL1_20120426_L,,,2300.0
109,11NPSWRD_WQX-PRSF_WQ_EL1_20120529_L,,,4400.0
110,11NPSWRD_WQX-PRSF_WQ_EL1_20120625_L,,,7700.0
111,11NPSWRD_WQX-PRSF_WQ_EL1_20120718_L,,,3900.0
112,11NPSWRD_WQX-PRSF_WQ_EL1_20120821_L,,,2400.0
113,11NPSWRD_WQX-PRSF_WQ_EL1_20120919_L,,,3400.0
114,11NPSWRD_WQX-PRSF_WQ_EL1_20121024_L,,,14000.0
115,11NPSWRD_WQX-PRSF_WQ_EL1_20121119_L,,,4100.0
116,11NPSWRD_WQX-PRSF_WQ_EL1_20121218_L,,,2200.0
117,11NPSWRD_WQX-PRSF_WQ_EL1_20130220_L,,,430.0
118,11NPSWRD_WQX-PRSF_WQ_EL1_20130319_L,,,2200.0
119,11NPSWRD_WQX-PRSF_WQ_EL1_20130416_L,,,5200.0
120,11NPSWRD_WQX-PRSF_WQ_EL1_20130521_L,,,8700.0
121,11NPSWRD_WQX-PRSF_WQ_EL1_20130627_L,,,11000.0
122,11NPSWRD_WQX-PRSF_WQ_EL1_20130717_L,,,5200.0
123,11NPSWRD_WQX-PRSF_WQ_EL1_20130717_L/1,,,6500.0
124,11NPSWRD_WQX-PRSF_WQ_EL1_20130821_L,,,5200.0
125,11NPSWRD_WQX-PRSF_WQ_EL1_20130924_L,,,3700.0
126,11NPSWRD_WQX-PRSF_WQ_EL1_20131022_L,,,2700.0
127,11NPSWRD_WQX-PRSF_WQ_EL1_20131022_L/1,,,1900.0
128,11NPSWRD_WQX-PRSF_WQ_EL1_20131217_L,,,1800.0
129,11NPSWRD_WQX-PRSF_WQ_EL1_20140122_L,,,1400.0
130,11NPSWRD_WQX-PRSF_WQ_EL1_20140225_L,,,1300.0
131,11NPSWRD_WQX-PRSF_WQ_EL1_20140325_L,,,10000.0
132,11NPSWRD_WQX-PRSF_WQ_EL1_20140422_L,,,1400.0
133,11NPSWRD_WQX-PRSF_WQ_EL1_20140527_L,,,8700.0
134,11NPSWRD_WQX-PRSF_WQ_EL1_20140623_L,,,4100.0
135,11NPSWRD_WQX-PRSF_WQ_EL1_20140728_L,,,4400.0
136,11NPSWRD_WQX-PRSF_WQ_EL1_20140827_L,,,4400.0
137,11NPSWRD_WQX-PRSF_WQ_EL1_20140923_L,,,1400.0
138,11NPSWRD_WQX-PRSF_WQ_EL1_20141124_L,,,7700.0
139,11NPSWRD_WQX-PRSF_WQ_EL1_20141124_L/1,,,8700.0
140,11NPSWRD_WQX-PRSF_WQ_EL1_20150121_L,,,2100.0
141,11NPSWRD_WQX-PRSF_WQ_EL1_20150218_L,,,6500.0
142,11NPSWRD_WQX-PRSF_WQ_EL1_20150317_L,,,4600.0
143,11NPSWRD_WQX-PRSF_WQ_EL1_20150414_L,,,7700.0
144,11NPSWRD_WQX-PRSF_WQ_EL1_20150519_L,,,12000.0
145,11NPSWRD_WQX-PRSF_WQ_EL1_20150616_L,,,3300.0
146,11NPSWRD_WQX-PRSF_WQ_EL1_20150715_L,,,8200.0
147,11NPSWRD_WQX-PRSF_WQ_EL1_20150819_L,,,6100.0
148,11NPSWRD_WQX-PRSF_WQ_EL1_20150915_L,,,3600.0
149,11NPSWRD_WQX-PRSF_WQ_EL1_20151021_L,,,13000.0
150,11NPSWRD_WQX-PRSF_WQ_EL1_20151118_L,,,3900.0
151,11NPSWRD_WQX-PRSF_WQ_EL1_20151222_L,,,7300.0
152,11NPSWRD_WQX-PRSF_WQ_EL1_20160216_L,,,930.0
153,11NPSWRD_WQX-PRSF_WQ_EL1_20160323_L,,,1700.0
154,11NPSWRD_WQX-PRSF_WQ_EL1_20160418_L,,,820.0
155,11NPSWRD_WQX-PRSF_WQ_EL1_20160518_L,,,2100.0
156,11NPSWRD_WQX-PRSF_WQ_EL1_20160620_L,,,4600.0
157,11NPSWRD_WQX-PRSF_WQ_EL1_20160620_L/1,,,4800.0
158,11NPSWRD_WQX-PRSF_WQ_EL1_20160712_L,,,4900.0
159,11NPSWRD_WQX-PRSF_WQ_EL1_20160824_L,,,2500.0
160,11NPSWRD_WQX-PRSF_WQ_EL1_20160921_L,,,1800.0
161,11NPSWRD_WQX-PRSF_WQ_EL1_20161024_L,,,4400.0
162,11NPSWRD_WQX-PRSF_WQ_EL1_20161117_L,,,2200.0
163,11NPSWRD_WQX-PRSF_WQ_EL1_20170122_L,,,4400.0
164,11NPSWRD_WQX-PRSF_WQ_EL1_20170221_L,,,3000.0
165,11NPSWRD_WQX-PRSF_WQ_EL1_20170320_L,,,690.0
166,11NPSWRD_WQX-PRSF_WQ_EL1_20170425_L,,,5200.0
167,11NPSWRD_WQX-PRSF_WQ_EL1_20170523_L,,,1000.0
168,11NPSWRD_WQX-PRSF_WQ_EL1_20170613_L,,,1100.0
169,11NPSWRD_WQX-PRSF_WQ_EL1_20170719_L,,,2900.0
170,11NPSWRD_WQX-PRSF_WQ_EL1_20170828_L,,,6100.0
171,11NPSWRD_WQX-PRSF_WQ_EL1_20170828_L/1,,,6100.0
172,11NPSWRD_WQX-PRSF_WQ_EL1_20170926_L,,,4900.0
173,11NPSWRD_WQX-PRSF_WQ_EL1_20171031_L,,,3000.0
174,11NPSWRD_WQX-PRSF_WQ_EL1_20171128_L,,,2000.0
175,11NPSWRD_WQX-PRSF_WQ_EL1_20171218_L,,,9200.0
176,11NPSWRD_WQX-PRSF_WQ_EL1_20180124_L,,,3300.0
177,11NPSWRD_WQX-PRSF_WQ_EL1_20180522_L,,,4400.0
178,11NPSWRD_WQX-PRSF_WQ_EL1_20180522_L/1,,,4100.0
179,11NPSWRD_WQX-PRSF_WQ_EL1_20180814_L,,,1800.0
180,11NPSWRD_WQX-PRSF_WQ_EL1_20180814_L/1,,,2100.0
181,11NPSWRD_WQX-PRSF_WQ_EL2_20110316_L,,,7700.0
182,11NPSWRD_WQX-PRSF_WQ_EL2_20110720_L,,,20000.0
183,11NPSWRD_WQX-PRSF_WQ_EL2_20110920_L/1,,,16000.0
184,11NPSWRD_WQX-PRSF_WQ_EL2_20111018_L,,,8700.0
185,11NPSWRD_WQX-PRSF_WQ_EL2_20111018_L/1,,,6100.0
186,11NPSWRD_WQX-PRSF_WQ_EL2_20111114_L,,,1400.0
187,11NPSWRD_WQX-PRSF_WQ_EL2_20111114_L/1,,,1600.0
188,11NPSWRD_WQX-PRSF_WQ_EL2_20111214_L,,,730.0
189,11NPSWRD_WQX-PRSF_WQ_EL2_20111214_L/1,,,730.0
190,11NPSWRD_WQX-PRSF_WQ_EL2_20120117_L,,,2500.0
191,11NPSWRD_WQX-PRSF_WQ_EL2_20120117_L/1,,,2700.0
192,11NPSWRD_WQX-PRSF_WQ_EL2_20120215_L,,,4900.0
193,11NPSWRD_WQX-PRSF_WQ_EL2_20120215_L/1,,,4400.0
194,11NPSWRD_WQX-PRSF_WQ_EL2_20120322_L,,,1600.0
195,11NPSWRD_WQX-PRSF_WQ_EL2_20120322_L/1,,,2400.0
196,11NPSWRD_WQX-PRSF_WQ_EL2_20120426_L,,,1900.0
197,11NPSWRD_WQX-PRSF_WQ_EL2_20120426_L/1,,,1200.0
198,11NPSWRD_WQX-PRSF_WQ_EL2_20120529_L,,,1400.0
199,11NPSWRD_WQX-PRSF_WQ_EL2_20120529_L/1,,,1500.0
200,11NPSWRD_WQX-PRSF_WQ_EL2_20120625_L,,,400.0
201,11NPSWRD_WQX-PRSF_WQ_EL2_20120625_L/1,,,440.0
202,11NPSWRD_WQX-PRSF_WQ_EL2_20120718_L,,,160.0
203,11NPSWRD_WQX-PRSF_WQ_EL2_20120718_L/1,,,220.0
204,11NPSWRD_WQX-PRSF_WQ_EL2_20120821_L,,,340.0
205,11NPSWRD_WQX-PRSF_WQ_EL2_20120821_L/1,,,350.0
206,11NPSWRD_WQX-PRSF_WQ_EL2_20120919_L,,,4100.0
207,11NPSWRD_WQX-PRSF_WQ_EL2_20120919_L/1,,,5500.0
208,11NPSWRD_WQX-PRSF_WQ_EL2_20121024_L,,,14000.0
209,11NPSWRD_WQX-PRSF_WQ_EL2_20121024_L/1,,,11000.0
210,11NPSWRD_WQX-PRSF_WQ_EL2_20121119_L,,,3300.0
211,11NPSWRD_WQX-PRSF_WQ_EL2_20121119_L/1,,,2000.0
212,11NPSWRD_WQX-PRSF_WQ_EL2_20121218_L/1,,,24000.0
213,11NPSWRD_WQX-PRSF_WQ_EL2_20130220_L,,,7300.0
214,11NPSWRD_WQX-PRSF_WQ_EL2_20130220_L/1,,,7300.0
215,11NPSWRD_WQX-PRSF_WQ_EL2_20130319_L,,,4100.0
216,11NPSWRD_WQX-PRSF_WQ_EL2_20130319_L/1,,,5200.0
