,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
47,11NPSWRD_WQX-PRSF_WQ_DF1_20101222_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
48,11NPSWRD_WQX-PRSF_WQ_DF1_20101222_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,,,,,,,13.26,,,7.49
49,11NPSWRD_WQX-PRSF_WQ_DF1_20101222_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,
50,11NPSWRD_WQX-PRSF_WQ_DF1_20101222_L^01,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,
51,11NPSWRD_WQX-PRSF_WQ_DF1_20110124_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
52,11NPSWRD_WQX-PRSF_WQ_DF1_20110124_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0,,,,,,,11.83,,,7.52
53,11NPSWRD_WQX-PRSF_WQ_DF1_20110124_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,
54,11NPSWRD_WQX-PRSF_WQ_DF1_20110124_L^01,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,
55,11NPSWRD_WQX-PRSF_WQ_DF1_20110216_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
56,11NPSWRD_WQX-PRSF_WQ_DF1_20110216_F^01,,,,,,,,,,,,,,,,1.5514320000000001,,,,,,,,,,,,,,519.9,,,,,,,12.4,,,7.99
57,11NPSWRD_WQX-PRSF_WQ_DF1_20110216_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,
58,11NPSWRD_WQX-PRSF_WQ_DF1_20110216_L^01,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,
59,11NPSWRD_WQX-PRSF_WQ_DF1_20110316_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
60,11NPSWRD_WQX-PRSF_WQ_DF1_20110316_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.8,,,,,,,13.5,,,7.91
61,11NPSWRD_WQX-PRSF_WQ_DF1_20110316_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,
62,11NPSWRD_WQX-PRSF_WQ_DF1_20110316_L^01,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,
63,11NPSWRD_WQX-PRSF_WQ_DF1_20110421_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
64,11NPSWRD_WQX-PRSF_WQ_DF1_20110421_F^01,,,,,,,,,,,,,,,,1.5575280000000002,,,,,,,,,,,,,,431.0,,,,,,,13.75,,,
65,11NPSWRD_WQX-PRSF_WQ_DF1_20110421_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,
66,11NPSWRD_WQX-PRSF_WQ_DF1_20110421_L^01,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,
67,11NPSWRD_WQX-PRSF_WQ_DF1_20110518_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,
68,11NPSWRD_WQX-PRSF_WQ_DF1_20110518_F^01,,,,,,,,,,,,,,,,1.5819120000000002,,,,,,,,,,,,,,332.9,,,,,,,17.0,,,7.83
69,11NPSWRD_WQX-PRSF_WQ_DF1_20110518_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,
70,11NPSWRD_WQX-PRSF_WQ_DF1_20110518_L^01,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,
71,11NPSWRD_WQX-PRSF_WQ_DF1_20110620_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,
72,11NPSWRD_WQX-PRSF_WQ_DF1_20110620_F^01,,,,,,,,,,,,,,,,1.588008,,,,,,,,,,,,,,414.0,,,,,,,17.54,,,7.88
73,11NPSWRD_WQX-PRSF_WQ_DF1_20110620_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,
74,11NPSWRD_WQX-PRSF_WQ_DF1_20110620_L^01,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,
75,11NPSWRD_WQX-PRSF_WQ_DF1_20110720_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,
76,11NPSWRD_WQX-PRSF_WQ_DF1_20110720_F^01,,,,,,,,,,,,,,,,1.5514320000000001,,,,,,,,,,,,,,533.0,,,,,,,18.25,,,7.69
77,11NPSWRD_WQX-PRSF_WQ_DF1_20110720_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,
78,11NPSWRD_WQX-PRSF_WQ_DF1_20110720_L^01,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,
79,11NPSWRD_WQX-PRSF_WQ_DF1_20110822_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
80,11NPSWRD_WQX-PRSF_WQ_DF1_20110822_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,,,,,,,15.33,,,7.78
81,11NPSWRD_WQX-PRSF_WQ_DF1_20110822_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,
82,11NPSWRD_WQX-PRSF_WQ_DF1_20110822_L^01,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
83,11NPSWRD_WQX-PRSF_WQ_DF1_20110920_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,
84,11NPSWRD_WQX-PRSF_WQ_DF1_20110920_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,,,,,,,14.27,,,7.22
