,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
16409,CEDEN--2145211124,,,,,,,,,,,,,,,,,,,,,,6.29,,,,,,,,,,,,,,,,,,
16410,CEDEN--2145211239,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,
16411,CEDEN--2145211286,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16412,CEDEN--2145211329,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.12,,,,,,,,25.0,,,,,,,
16413,CEDEN--2145211391,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,10.4,,,,,,,
16414,CEDEN--2145211396,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,
16415,CEDEN--2145211521,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,14.0,,,,,,,
16416,CEDEN--2145211568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,
16417,CEDEN--2145211795,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.056,,,,,,,,38.0,,,,,,,
16418,CEDEN--2145211834,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16419,CEDEN--2145211942,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,
16420,CEDEN--2145211973,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,
16421,CEDEN--2145212066,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.08,,,,,,,,35.0,,,,,,,
16422,CEDEN--2145212134,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.125,,,,,,,,27.0,,,,,,,
16423,CEDEN--2145212416,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16424,CEDEN--2145212735,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16425,CEDEN--2145212845,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16426,CEDEN--2145212980,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16427,CEDEN--2145213358,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,
16428,CEDEN--2145213507,,,,,,,,,,,,,,,,,,3.1,,,,,,,0.0665,,,,,,,,36.0,,,,,,,
16429,CEDEN--2145213538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,
16430,CEDEN--2145213717,,,0.00095,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16431,CEDEN--2145213745,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,13.5,,,,,,,
16432,CEDEN--2145213751,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,,,
16433,CEDEN--2145213836,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16434,CEDEN--2145213988,,,,,,,,,,,,,,,,,,0.18,,,,,,,0.038,,,,,,,,24.0,,,,,,,
16435,CEDEN--2145214020,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
16436,CEDEN--2145214027,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.031,,,,,,,,15.0,,,,,,,
16437,CEDEN--2145214138,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
16438,CEDEN--2145214210,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.055,,,,,,,,41.0,,,,,,,
16439,CEDEN--2145214255,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16440,CEDEN--2145214268,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16441,CEDEN--2145214395,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,
16442,CEDEN--2145214490,,,,,,,,,,,,,,,,,,1.2,,,,,,,0.064,,,,,,,,39.0,,,,,,,
16443,CEDEN--2145214501,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,
16444,CEDEN--2145214512,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,10.0,,,,,,,
16445,CEDEN--2145214547,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,
16446,CEDEN--2145214588,,,,,,,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16447,CEDEN--2145214595,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,
16448,CEDEN--2145214877,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,
16449,CEDEN--2145214912,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,
16450,CEDEN--2145214962,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,
16451,CEDEN--2145214987,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,16.0,,,,,,,
16452,CEDEN--2145215178,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16453,CEDEN--2145215235,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.078,,,,,,,,45.5,,,,,,,
16454,CEDEN--2145215502,,,,,,,,,,,,,,,,,,,,,,17300.0,,,,,,,,,,,,,,,,,,
16455,CEDEN--2145215578,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16456,CEDEN--2145215630,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,
16457,CEDEN--2145216146,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,
16458,CEDEN--2145216311,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,21.5,,,,,,,
16459,CEDEN--2145216558,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16460,CEDEN--2145217306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,
16461,CEDEN--2145217342,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16462,CEDEN--2145217368,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16463,CEDEN--2145217517,,,,,,,,,,110.0,,,,,,,75.0,,,,,,,,,,,,75.0,,,,,,,,,,,
16464,CEDEN--2145217660,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.11699999999999999,,,,,,,,28.0,,,,,,,
16465,CEDEN--2145217663,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.098,,,,,,,,27.0,,,,,,,
16466,CEDEN--2145217769,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
16467,CEDEN--2145217878,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.09,,,,,,,,34.5,,,,,,,
16468,CEDEN--2145217899,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,
16469,CEDEN--2145218132,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0585,,,,,,,,26.5,,,,,,,
16470,CEDEN--2145218148,,,,,,,,,,,,,,,,,,,-0.0096,,,,,,,,,,,,,,,,,,,,,
16471,CEDEN--2145218156,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,
16472,CEDEN--2145218180,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.07400000000000001,,,,,,,,21.5,,,,,,,
16473,CEDEN--2145218357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,
16474,CEDEN--2145218891,,,,,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16475,CEDEN--2145218981,,,,,,,,,,,,,,,,,,1.5,,,,,,,0.05,,,,,,,,48.0,,,,,,,
16476,CEDEN--2145219012,,,,,,,,,,17.0,,,,,,,7.6,,,,,,,,,,,,21.0,,,,,,,,,,,
16477,CEDEN--2145219135,,,,,,,,,,19.3,,,,,,,8.91,,,,,,,,,,,,22.8,,,,,,,,,,,
16478,CEDEN--2145219613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,
16479,CEDEN--2145219681,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,
16480,CEDEN--2145219716,,,,,,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16481,CEDEN--2145219754,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,
16482,CEDEN--2145219812,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,
16483,CEDEN--2145219991,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,
16484,CEDEN--2145220008,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,
16485,CEDEN--2145220179,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16486,CEDEN--2145220324,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,
16487,CEDEN--2145220775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
16488,CEDEN--2145220831,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16489,CEDEN--2145220861,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.077,,,,,,,,59.0,,,,,,,
16490,CEDEN--2145221220,,,,,,,,,,31.0,,,,,,,14.0,,,,,,,,,,,,43.0,,,,,,,,,,,
16491,CEDEN--2145221247,,,,,,,,,,,,,,,,,,,-0.0013,,,,,,,,,,,,,,,,,,,,,
16492,CEDEN--2145221321,,,,,,,,,,,,,,,,,,0.19,,,,,,,0.05,,,,,,,,33.0,,,,,,,
16493,CEDEN--2145221372,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.11,,,,,,,,14.0,,,,,,,
16494,CEDEN--2145221391,,,0.0018,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16495,CEDEN--2145221441,,,,,,,,,,32.0,,,,,,,14.0,,,,,,,,,,,,40.0,,,,,,,,,,,
16496,CEDEN--2145221483,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,
16497,CEDEN--2145221963,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
16498,CEDEN--2145222247,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,
16499,CEDEN--2145222273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,
16500,CEDEN--2145222323,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,
16501,CEDEN--2145222683,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,17.5,,,,,,,
16502,CEDEN--2145222740,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,
16503,CEDEN--2145223034,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16504,CEDEN--2145223421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
16505,CEDEN--2145223559,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
16506,CEDEN--2145223581,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16507,CEDEN--2145223603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,
16508,CEDEN--2145223656,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16509,CEDEN--2145223690,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16510,CEDEN--2145223999,,,,,,,,,,,,,,,,,,,,,,,,,0.543,,,,,,,,,,,,,,,
16511,CEDEN--2145224037,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16512,CEDEN--2145224209,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,
16513,CEDEN--2145224227,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16514,CEDEN--2145224229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,
16515,CEDEN--2145224579,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.14,,,,,,,,39.0,,,,,,,
16516,CEDEN--2145224628,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
16517,CEDEN--2145224687,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16518,CEDEN--2145224953,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16519,CEDEN--2145225110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,
16520,CEDEN--2145225467,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,
16521,CEDEN--2145225470,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,19.0,,,,,,,
16522,CEDEN--2145225527,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,
16523,CEDEN--2145225635,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,,,,,,,,,
16524,CEDEN--2145225639,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,
16525,CEDEN--2145225799,,,,,,,,,,17.4,,,,,,,7.57,,,,,,,,,,,,21.3,,,,,,,,,,,
16526,CEDEN--2145226183,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,15.5,,,,,,,
16527,CEDEN--2145226260,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,
16528,CEDEN--2145226331,,,,,,,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,
16529,CEDEN--2145226637,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,
16530,CEDEN--2145226672,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,
16531,CEDEN--2145226776,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.033,,,,,,,,30.0,,,,,,,
16532,CEDEN--2145227042,,,,,,,,,,,,,,,,,,1.3,,,,,,,0.064,,,,,,,,48.0,,,,,,,
16533,CEDEN--2145227066,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,
16534,CEDEN--2145227312,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
16535,CEDEN--2145227373,,,,,,,,,,,,,,,,,,-0.056,,,,,,,,,,,,,,,,,,,,,,
16536,CEDEN--2145227446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,
16537,CEDEN--2145227490,,,,,,,,,,120.0,,,,,,,81.0,,,,,,,,,,,,100.0,,,,,,,,,,,
16538,CEDEN--2145227742,,,,,,,,,0.0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16539,CEDEN--2145227981,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16540,CEDEN--2145228172,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16541,CEDEN--2145228352,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,
16542,CEDEN--2145228406,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,,,,,,,
16543,CEDEN--2145228412,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,
16544,CEDEN--2145228583,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.12,,,,,,,,15.0,,,,,,,
16545,CEDEN--2145228657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,
16546,CEDEN--2145228676,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16547,CEDEN--2145229112,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,19.0,,,,,,,
16548,CEDEN--2145229330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,
16549,CEDEN--2145229367,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16550,CEDEN--2145229428,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.069,,,,,,,,42.0,,,,,,,
16551,CEDEN--2145229491,,,,,,,,,,,,,,,,,,1.35,,,,,,,0.05,,,,,,,,43.0,,,,,,,
16552,CEDEN--2145229530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,
16553,CEDEN--2145229659,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16554,CEDEN--2145229798,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,
16555,CEDEN--2145229805,,,,,,,,,,,,,,,,,,,0.0022,,,,,,,,,,,,,,,,,,,,,
16556,CEDEN--2145229834,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.062,,,,,,,,20.0,,,,,,,
16557,CEDEN--2145230023,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
16558,CEDEN--2145230028,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16559,CEDEN--2145230061,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16560,CEDEN--2145230282,,,,,,,,,,19.0,,,,,,,8.5,,,,,,,,,,,,22.0,,,,,,,,,,,
16561,CEDEN--2145230400,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.12,,,,,,,,16.0,,,,,,,
16562,CEDEN--2145230401,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,
16563,CEDEN--2145230625,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,
16564,CEDEN--2145230876,,,,,,,,,,,,,,,,,,,-0.0013,,,,,,,,,,,,,,,,,,,,,
16565,CEDEN--2145231016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,
16566,CEDEN--2145231085,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,
16567,CEDEN--2145231340,,,,,,,,,,,,,,,,,,,0.0023,,,,,,,,,,,,,,,,,,,,,
16568,CEDEN--2145231572,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16569,CEDEN--2145231625,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16570,CEDEN--2145231749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,
16571,CEDEN--2145231868,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16572,CEDEN--2145231917,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16573,CEDEN--2145232217,,,,,,,,,,,,,,,,,,,-0.0096,,,,,,,,,,,,,,,,,,,,,
16574,CEDEN--2145232393,,,,,,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16575,CEDEN--2145232499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,
16576,CEDEN--2145232544,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16577,CEDEN--2145232571,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,,,,,,,,,,,,,
16578,CEDEN--2145232917,,,,,,,,,,,,,,,,,,0.59,,,,,,,0.084,,,,,,,,37.0,,,,,,,
16579,CEDEN--2145232993,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,16.0,,,,,,,
16580,CEDEN--2145233074,,,,,,,,,,55.0,,,,,,,38.0,,,,,,,,,,,,28.0,,,,,,,,,,,
16581,CEDEN--2145233145,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,33.0,,,,,,,
16582,CEDEN--2145233247,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,,,,,,,,
16583,CEDEN--2145233784,,,,,,,,,,,,,,,,,,3.8,,,,,,,0.12,,,,,,,,36.5,,,,,,,
16584,CEDEN--2145233877,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
16585,CEDEN--2145233963,,,0.72,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16586,CEDEN--2145234210,,,,,,,,,,,,,,,,,,0.22,,,,,,,0.069,,,,,,,,9.4,,,,,,,
16587,CEDEN--2145234529,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.07949999999999999,,,,,,,,38.5,,,,,,,
16588,CEDEN--2145234747,,,,,,,,,,,,,,,,,,,0.0031,,,,,,,,,,,,,,,,,,,,,
16589,CEDEN--2145234834,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.059,,,,,,,,24.0,,,,,,,
16590,CEDEN--2145234884,,,,,,,,,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16591,CEDEN--2145235296,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,15.0,,,,,,,
16592,CEDEN--2145235412,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.13,,,,,,,,32.0,,,,,,,
16593,CEDEN--2145235459,,,,,,,,,,,,,,,,,,1.65,,,,,,,0.077,,,,,,,,29.0,,,,,,,
16594,CEDEN--2145235476,,,,,,,,,,26.0,,,,,,,11.0,,,,,,,,,,,,30.0,,,,,,,,,,,
16595,CEDEN--2145235717,,,,,,,,,,,,,,,,,,,,,,,,,0.174,,,,,,,,,,,,,,,
16596,CEDEN--2145236056,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,
16597,CEDEN--2145236417,,,,,,,,,,,,,,,,,,1.3,,,,,,,0.039,,,,,,,,31.0,,,,,,,
16598,CEDEN--2145236693,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
16599,CEDEN--2145237104,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.091,,,,,,,,14.0,,,,,,,
16600,CEDEN--2145237122,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
16601,CEDEN--2145237656,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16602,CEDEN--2145237664,,,,,,,,,,,,,,,,,,,-0.0013,,,,,,,,,,,,,,,,,,,,,
16603,CEDEN--2145237786,,,,,,,,,,31.0,,,,,,,14.0,,,,,,,,,,,,40.0,,,,,,,,,,,
16604,CEDEN--2145238109,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16605,CEDEN--2145238126,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
16606,CEDEN--2145238167,,,,,,,,,,,,,,,,,,1.3,,,,,,,0.072,,,,,,,,30.5,,,,,,,
16607,CEDEN--2145238280,,,,,,,,,,,,,,,,,,-0.0042,,,,,,,,,,,,,,,,,,,,,,
16608,CEDEN--2145238335,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.07,,,,,,,,38.5,,,,,,,
16609,CEDEN--2145238492,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,
16610,CEDEN--2145238710,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.071,,,,,,,,33.0,,,,,,,
16611,CEDEN--2145238723,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.147,,,,,,,,26.0,,,,,,,
16612,CEDEN--2145239108,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,
16613,CEDEN--2145239112,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,
16614,CEDEN--2145239236,,,,,,,,,,,,,,,,,,,,,,12800.0,,,,,,,,,,,,,,,,,,
16615,CEDEN--2145239238,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,
16616,CEDEN--2145240000,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.12000000000000001,,,,,,,,16.5,,,,,,,
16617,CEDEN--2145240074,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,
16618,CEDEN--2145240098,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,
16619,CEDEN--2145240213,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,
16620,CEDEN--2145240628,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16621,CEDEN--2145240865,,,,,,,,,,,,,,,,,,,0.0053,,,,,,,,,,,,,,,,,,,,,
16622,CEDEN--2145240927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,
16623,CEDEN--2145241095,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16624,CEDEN--2145241286,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16625,CEDEN--2145241534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,
16626,CEDEN--2145241583,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,
16627,CEDEN--2145242059,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,19.0,,,,,,,
16628,CEDEN--2145242114,,,,,,,,,,,,,,,,,,,,,,17700.0,,,,,,,,,,,,,,,,,,
16629,CEDEN--2145242116,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.055,,,,,,,,34.0,,,,,,,
16630,CEDEN--2145242571,,,,,,,,,,,,,,,,,,,-0.0096,,,,,,,,,,,,,,,,,,,,,
16631,CEDEN--2145242921,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16632,CEDEN--2145243235,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,
16633,CEDEN--2145243249,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,,,,,,,,,
16634,CEDEN--2145243252,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,
16635,CEDEN--2145243265,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.05,,,,,,,,38.0,,,,,,,
16636,CEDEN--2145243541,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16637,CEDEN--2145243690,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0565,,,,,,,,40.0,,,,,,,
16638,CEDEN--2145243846,,,,,,,,,,,,,,,,,,,0.0064,,,,,,,,,,,,,,,,,,,,,
16639,CEDEN--2145243858,,,,,,,,,,,,,,,,,,-0.056,,,,,,,,,,,,,,,,,,,,,,
